"Please be mindful when editing!","The person generating the game needs a copy of each APWorld that is to be used for the game. If the APWorld requires a specific ROM to generate, they need that ROM too.","","","","","","","",""
"Headers are locked to prevent auto-sorts from being done","The APWorlds should be placed in the host's Archipelago install in the custom_worlds folder. Then, the host can generate the game by following the instructions here: https://archipelago.gg/tutorial/Archipelago/setup/en#generating-a-game","","","","","","","",""
"If something is missing, add it! Someone will move it later.","Alternate place to get info on APWorlds: https://discord.com/channels/731205301247803413/1343416927871307776","","","","","","","",""
"Do not sort","Please only download APWorlds from trusted sources. You need to run custom code to generate a game, which is a potential security vulnerability if you managed to find a malicious APWorld.","","","","","","","",""
"Game","Status","Where can you get the APWorld and Client?","Notes","","","","","",""
"Clique","APWorld Only","APWorld: https://pharware.com/git/Phar/Clique/releases/latest
Client: https://clique.pharware.com/","","","","","","",""
"Crystal Project","APWorld Only","https://github.com/Emerassi/CrystalProjectAPWorld/releases","Game is fully playable with a built-in tracker and a healthy amount of customization available via the yaml
Setup guide: https://github.com/Emerassi/Crystal-Project-Archipelago-Mod-Installer","","","","","",""
"Donkey Kong Country","APWorld Only","https://github.com/TheLX5/Archipelago/releases?q=""Donkey+Kong+Country""&expanded=true","See this thread in the future-game-design channel for information.
https://discord.com/channels/731205301247803413/1095928183607525556/1398000364594139156","","","","","",""
"Donkey Kong Country 2: Diddy's Kong Quest","APWorld Only","https://github.com/TheLX5/Archipelago/releases?q=""Donkey+Kong+Country+2""&expanded=true","See this thread in the future-game-design channel for information.
https://discord.com/channels/731205301247803413/1095928183607525556/1398000364594139156","","","","","",""
"Don't Starve Together","APWorld Only","APWorld: https://github.com/DragonWolfLeo/Archipelago-DST/releases 
Client: https://steamcommunity.com/sharedfiles/filedetails/?id=3218471273","","","","","","",""
"Flipwitch","APWorld Only","https://github.com/Witchybun/FlipwitchAPClient/releases/latest","Not allowed on the main discord due to 18+ age rating. See the After Dark discord for the game's channel.","","","","","",""
"Huniepop","APWorld Only","APWorld: https://github.com/DotsofdarknessArchipelago/HuniePop-APWorld
Client: https://github.com/DotsofdarknessArchipelago/HuniePop-Archiepelago-Client","Not allowed on the main discord due to 18+ age rating. See the After Dark discord for the game's channel.","","","","","",""
"Huniepop 2: Double Date","APWorld Only","APWorld: https://github.com/DotsofdarknessArchipelago/HuniePop2-APWorld/releases 
Client: https://github.com/DotsofdarknessArchipelago/HunniePop2-Archipelago-Client/releases","Not allowed on the main discord due to 18+ age rating. See the After Dark discord for the game's channel.","","","","","",""
"Mega Man X","APWorld Only","https://github.com/TheLX5/Archipelago/releases?q=""Mega+Man+X""&expanded=true","See this thread in the future-game-design channel for information.
https://discord.com/channels/731205301247803413/1095928183607525556/1398000364594139156","","","","","",""
"Mega Man X2","APWorld Only","https://github.com/TheLX5/Archipelago/releases?q=""Mega+Man+X2""&expanded=true","See this thread in the future-game-design channel for information.
https://discord.com/channels/731205301247803413/1095928183607525556/1398000364594139156","","","","","",""
"Mega Man X3","APWorld Only","https://github.com/TheLX5/Archipelago/releases?q=""Mega+Man+X3""&expanded=true","See this thread in the future-game-design channel for information.
https://discord.com/channels/731205301247803413/1095928183607525556/1398000364594139156","","","","","",""
"Outer Wilds","APWorld Only","https://github.com/Ixrec/OuterWildsArchipelagoRandomizer/releases/latest","See its thread in the future-game-design channel for information.
https://discord.com/channels/731205301247803413/1178700404637311086/1296169222396969012","","","","","",""
"Pokemon Crystal","APWorld Only","https://github.com/gerbiljames/Archipelago/releases/latest","Tracker: https://github.com/palex00/crystal-ap-tracker/releases/latest","","","","","",""
"Resident Evil 2 Remake","APWorld Only","APWorld: https://github.com/FuzzyGamesOn/RE2R_AP_World/releases/latest
Client: https://github.com/FuzzyGamesOn/RE2R_AP_Client/releases/latest","Not allowed on the main discord due to 18+ age rating. See the After Dark discord for the game's channel.","","","","","",""
"Resident Evil 3 Remake","APWorld Only","APWorld: https://github.com/dontjoome/RE3R_AP_World/releases/latest
Client: https://github.com/dontjoome/RE3R_AP_Client/releases/latest","Not allowed on the main discord due to 18+ age rating. See the After Dark discord for the game's channel.","","","","","",""
