"Please be mindful when editing!","This sheet is for tools and meta games.","","","","","","","",""
"Headers are locked to prevent auto-sorts from being done","Tools are things that assist with or enhance your Archipelago experience.","","","","","","","",""
"If something is missing, add it! Someone will move it later.","Meta games are game-like things that interact with the multiworld.","","","","","","","",""
"Do not sort","","","","","","","","",""
"Game","Type","Where can you get the APWorld or program?","Notes","","","","","",""
"APWorld Manager","Tool","https://github.com/silasary/Archipelago/releases?q=Manager","Installer for custom worlds","","","","","",""
"APWorld Skeleton","Tool","https://github.com/hoppel16/APSkeleton","Meant to be a template for first time APWorld devs. Doesn't really fit with this sheet, but the visibility is probably important so it stays","","","","","",""
"Archipelabutt - buttplug.io Support","Tool","http://shoresforgotten.github.io/archipelabutt/","Ever wanted to be punished like a good {gender} for not picking up items? You can now have your buttplug vibrate more the longer you spend not sending items!
Not allowed on the main discord due to real life sexual use. See the After Dark Discord for the tool's thread","","","","","",""
"Archipelago Alerts","Tool","https://github.com/wrjones104/ap-tracker/releases","A mobile app that sends push notifications for when your slot receives something on asyncs","","","","","",""
"Archipelago Checklist Tracker","Tool","https://drawesome4333.github.io/ap-tracker/","A webtracker, similar to the normal one, that shows which locations you have not checked yet, and whether they have hints.
Also allows you to view which items you have received, and where they came from.","","","","","",""
"Archipelago Debug Client","Tool","https://github.com/BadMagic100/ArchipelagoDebugClient/releases","Intended as a tool for developers during the testing phases of the development of an apworld
Will only work on games with one or two slots as it is for testing purposes","","","","","",""
"Archipelago EX","Tool","https://krujo.itch.io/aex","Alternative sleek UI that allows for YAML organizing","","","","","",""
"Archipelago Lobby","Tool","https://ap-lobby.bananium.fr/","Automates YAML uploading and validation, and room generation","","","","","",""
"Archipelago Overlays","Tool","https://g4pls.github.io/ArchipelagoOverlays/","Stream overlay notification system for when items, deaths, goals, etc. occur using a browser","","","","","",""
"Archipelago Sphere Tracker (Discord Bot)","Tool","https://github.com/Etsuna/ArchipelagoSphereTracker","A Discord bot designed to be linked to an Archipelago room","","","","","",""
"APWebChat-Vue","Tool","Site: https://bclindner.com/misc/apps/apwc/#/
Source: https://github.com/bclindner/apwebchat-vue","Simple web text client for connecting to your chat from phone/browser.","","","","","",""
"Bridgeipelago","Tool","https://github.com/Quasky/bridgeipelago","Discord bridge for Archipelago in python. Used to track ItemReceives, chat, deathlinks, basically anything that you'd need to track progress by having the TextClient open... But in Discord!","","","","","",""
"Datapackage Exporter","Tool","https://discord.com/channels/731205301247803413/731205301818359821/1436567977607692399","Obtain a list of all items and locations from an apworld more easily!","","","","","",""
"Discord Rich Presence Client","Tool","https://github.com/SerpentAI/Archipelago/releases/tag/rich-presence-002","Your Discord client will be able to show that you are playing Archipelago, along with which game and the number of players","","","","","",""
"Firebot Integration","Tool","https://github.com/Oceanity/firebot-archipelago/releases","Archipelago extension designed for Firebot, for Twitch streamers","","","","","",""
"Hydra Text Client","Tool","https://github.com/SWCreeperKing/HydraTextClient/releases","Text Client that allows connection between multiple slots in one window and allows visualization of Hints from all slots","","","","","",""
"Local Yaml Creator","Tool","https://github.com/Silvris/Archipelago/releases?q=yaml+creator&expanded=true","No need to write yaml options by hand everytime, use something more similar to the webhost with this!","","","","","",""
"Old Launcher","Tool","https://github.com/silasary/Archipelago/releases/tag/old_launcher-1.0.0","Adds a button for the pre-0.6.2 Launcher.  This is a better alternative than not installing updates.","","","","","",""
"Poptracker","Tool","https://github.com/black-sliver/PopTracker/releases/latest","Map tracker that supports auto-tracking for Archipelago.","","","","","",""
"Remote","Tool","https://github.com/Emik03/Remote/releases/","Manual Client Alternative","","","","","",""
"Slow Release Client","Tool","https://github.com/gjgfuj/AP-SlowRelease/releases","Needs Universal Tracker to be used, the client will release items in-logic from the slot over a set time the user selects","","","","","",""
"Spoiler-Free Text Client","Tool","https://discord.com/channels/731205301247803413/1282381904812970096","Like the normal text client but replaces the item and location names with their IDs for all items and locations except ones from your game.","","","","","",""
"T.I.T.S. Integrated Text Service","Tool","https://github.com/digiholic/Archipelago/releases?q=%22T.I.T.S%22&expanded=true","Meta APWorld that provides a Text Client that sends API calls to the Twitch Integrated Throwing System","","","","","",""
"Universal Tracker","Tool","https://github.com/FarisTheAncient/Archipelago/releases/","A universal tracker for Archipelago games. Note its limitations in the pins of its future game design channel.","","","","","",""
"AP Meta-Bingo","Meta Game","https://github.com/Cynichill/APBingo/releases/","Meta AP where you find checks from other slots in order to make bingo(s)","","","","","",""
"Backlog Expedition","Meta Game","APWorld: https://github.com/Nikkilites/Archipelago-BacklogExpedition-APWorld/releases
Client: https://github.com/Nikkilites/Archipelago-BacklogExpedition-Game/releases","ASCII art game meant to help you clear your backlog during multiworlds!","","","","","",""
"Votipelago","Meta Game","https://github.com/FlySniper/Archipelago/releases?q=votipelago&expanded=true","Twitch Chat has joined the multiworld and can now play alongside the streamer!
Chat will decide on a poll on which item to send next, and they will receive keys to unlock more options or shorten the time between polls","","","","","",""
"DeathLinkipelago","Meta Game","https://github.com/SWCreeperKing/DeathLinkipelago/releases/latest","More info in the future game design post: https://discord.com/channels/731205301247803413/1358292614386024538 
Death Link-based meta game that sends checks based on Death Links sent in the multiworld","","","","","",""
"Keymaster's Keep","Meta Game","https://github.com/SerpentAI/Archipelago/releases?q=Keymaster&expanded=true","Meta game where keeps are themed by subworlds, requiring keys to unlock, and each keep has a list of tasks.","","","","","",""
"Pharcryption","Meta Game","OG Phar: https://discord.com/channels/731205301247803413/1092478908022136876/1200581983756111973
JKL & Parcosmic Fix: https://github.com/JKLeckr/Pharcryption-APWorld/releases","Meta game about mining Pharcoins, stay safe out there!
Phar Client: https://pharcryption.darkshare.site.nfoservers.com/
JKL Client: https://github.com/JKLeckr/Pharcryption/releases","","","","","",""
"Slot Lock","Meta Game","https://github.com/gjgfuj/SlotLock/releases/latest","Meta game. See the future game design channel post for more information.","","","","","",""
"AP Nonograms","Hint Game","https://github.com/CommandTM/ap-nonograms/releases/","Hint Game where you solve pre-generated Picross boards, with some made by the community","","","","","",""
"Chess Puzzles","Hint Game","https://aphints.publicvm.com/","Solve chess puzzles for hints
Code repository: https://github.com/nepcore/aphints","","","","","",""
"Cloverpit","Hint Game","https://github.com/Calebri/CloverPitAPHints/releases","Hint Game where you use tickets to get hints","","","","","",""
"Faustdle","Hint Game","https://faustdle.com/","Hint Game where you guess One Piece characters using higher and lower hints
Connect to Archipelago can be found on the Other button at the bottom of the website","","","","","",""
"HintMachine","Hint Game","https://github.com/HintMachine/hintMachine/releases","A collection of Hint Games built into one, the list can be found in the README.md","","","","","",""
"SpellChecks","Hint Game","https://wkcheezy.gitlab.io/SpellChecks/","Play HangMan with your world's item names for hints!","","","","","",""
"Sudoku","Hint Game","https://github.com/APSudoku/APSudoku/releases","Core-Verified Hint Game where you complete Sudoku boards for hints","","","","","",""
"ULTRAKILL","Hint Game","https://github.com/TRPG0/ArchipelagoULTRAKILL/releases/latest","Can set it to hint game mode when connecting to the server. Uses the Cyber Grind for hints.","","","","","",""
