"This is a duplication of the main game list, for convienience. These games' worlds are included with the main Archipelago installation. The Archipelago website is likely to be more up-to-date and accurate: https://archipelago.gg/games","","","","","","","",""
"Game","Game Page","Setup Page","Discord Channel","","","","",""
"Adventure","https://archipelago.gg/games/Adventure/info/en","https://archipelago.gg/tutorial/#Adventure","https://discord.com/channels/731205301247803413/1090814076378153111","","","","",""
"APQuest","https://archipelago.gg/games/APQuest/info/en","https://archipelago.gg/tutorial/#APQuest","https://discord.com/channels/731205301247803413/1450659987331481610","","","","",""
"Aquaria","https://archipelago.gg/games/Aquaria/info/en","https://archipelago.gg/tutorial/#Aquaria","https://discord.com/channels/731205301247803413/1257452465272389687","","","","",""
"Blasphemous","https://archipelago.gg/games/Blasphemous/info/en","https://archipelago.gg/tutorial/#Blasphemous","https://discord.com/channels/731205301247803413/1090815418731597884","","","","",""
"Bomb Rush Cyberfunk","https://archipelago.gg/games/Bomb%20Rush%20Cyberfunk/info/en","https://archipelago.gg/tutorial/#Bomb%20Rush%20Cyberfunk","https://discord.com/channels/731205301247803413/1257453065083031642","","","","",""
"Bumper Stickers","https://archipelago.gg/games/Bumper%20Stickers/info/en","https://archipelago.gg/tutorial/#Bumper%20Stickers","https://discord.com/channels/731205301247803413/1148330200891932742","","","","",""
"Castlevania - Circle of the Moon","https://archipelago.gg/games/Castlevania%20-%20Circle%20of%20the%20Moon/info/en","https://archipelago.gg/tutorial/#Castlevania%20-%20Circle%20of%20the%20Moon","https://discord.com/channels/731205301247803413/1356647822803603536","","","","",""
"Castlevania 64","https://archipelago.gg/games/Castlevania%2064/info/en","https://archipelago.gg/tutorial/#Castlevania%2064","https://discord.com/channels/731205301247803413/1224387731782893731","","","","",""
"Celeste (Open World)","https://archipelago.gg/games/Celeste%20(Open%20World)/info/en","https://archipelago.gg/tutorial/#Celeste%20%28Open%20World%29","https://discord.com/channels/731205301247803413/1408557298946670835","","","","",""
"Celeste 64","https://archipelago.gg/games/Celeste%2064/info/en","https://archipelago.gg/tutorial/#Celeste%2064","https://discord.com/channels/731205301247803413/1224388599160635552","","","","",""
"ChecksFinder","https://archipelago.gg/games/ChecksFinder/info/en","https://archipelago.gg/tutorial/#ChecksFinder","https://discord.com/channels/731205301247803413/959282474746282014","","","","",""
"Choo Choo Charles","https://archipelago.gg/games/Choo-Choo%20Charles/info/en","https://archipelago.gg/tutorial/#Choo-Choo%20Charles","https://discord.com/channels/731205301247803413/1436453823928598679","","","","",""
"Civilization VI","https://archipelago.gg/games/Civilization%20VI/info/en","https://archipelago.gg/tutorial/#Civilization%20VI","https://discord.com/channels/731205301247803413/1356645390497222887","","","","",""
"Dark Souls III","https://archipelago.gg/games/Dark%20Souls%20III/info/en","https://archipelago.gg/tutorial/#Dark%20Souls%20III","https://discord.com/channels/731205301247803413/1005246392329052220","","","","",""
"DLCQuest","https://archipelago.gg/games/DLCQuest/info/en","https://archipelago.gg/tutorial/#DLCQuest","https://discord.com/channels/731205301247803413/1109178880838868992","","","","",""
"Donkey Kong Country 3","https://archipelago.gg/games/Donkey%20Kong%20Country%203/info/en","https://archipelago.gg/tutorial/#Donkey%20Kong%20Country%203","https://discord.com/channels/731205301247803413/1005246223277641809","","","","",""
"DOOM 1993","https://archipelago.gg/games/DOOM%201993/info/en","https://archipelago.gg/tutorial/#DOOM%201993","https://discord.com/channels/731205301247803413/1148329739996643348","","","","",""
"DOOM II","https://archipelago.gg/games/DOOM%20II/info/en","https://archipelago.gg/tutorial/#DOOM%20II","https://discord.com/channels/731205301247803413/1192236810487738510","","","","",""
"Factorio","https://archipelago.gg/games/Factorio/info/en","https://archipelago.gg/tutorial/#Factorio","https://discord.com/channels/731205301247803413/827139809763262525","","","","",""
"Faxanadu","https://archipelago.gg/games/Faxanadu/info/en","https://archipelago.gg/tutorial/#Faxanadu","https://discord.com/channels/731205301247803413/1356649072462659716","","","","",""
"Final Fantasy","https://archipelago.gg/games/Final%20Fantasy/info/en","https://archipelago.gg/tutorial/#Final%20Fantasy","https://discord.com/channels/731205301247803413/917510025461776445","","","","",""
"Final Fantasy Mystic Quest","https://archipelago.gg/games/Final%20Fantasy%20Mystic%20Quest/info/en","https://archipelago.gg/tutorial/#Final%20Fantasy%20Mystic%20Quest","https://discord.com/channels/731205301247803413/1192237281298362539","","","","",""
"A Hat in Time","https://archipelago.gg/games/A%20Hat%20in%20Time/info/en","https://archipelago.gg/tutorial/#A%20Hat%20in%20Time","https://discord.com/channels/731205301247803413/1257453386073374842","","","","",""
"Heretic","https://archipelago.gg/games/Heretic/info/en","https://archipelago.gg/tutorial/#Heretic","https://discord.com/channels/731205301247803413/1192236842515439627","","","","",""
"Hollow Knight","https://archipelago.gg/games/Hollow%20Knight/info/en","https://archipelago.gg/tutorial/#Hollow%20Knight","https://discord.com/channels/731205301247803413/959203442570715176","","","","",""
"Hylics 2","https://archipelago.gg/games/Hylics%202/info/en","https://archipelago.gg/tutorial/#Hylics%202","https://discord.com/channels/731205301247803413/1043593298247417929","","","","",""
"Inscryption","https://archipelago.gg/games/Inscryption/info/en","https://archipelago.gg/tutorial/#Inscryption","https://discord.com/channels/731205301247803413/1356651394320437469","","","","",""
"Jak and Daxter: The Precursor Legacy","https://archipelago.gg/games/Jak%20and%20Daxter:%20The%20Precursor%20Legacy/info/en","https://archipelago.gg/tutorial/#Jak%20and%20Daxter%3A%20The%20Precursor%20Legacy","https://discord.com/channels/731205301247803413/1394026388683755613","","","","",""
"Kingdom Hearts","https://archipelago.gg/games/Kingdom%20Hearts/info/en","https://archipelago.gg/tutorial/#Kingdom%20Hearts","https://discord.com/channels/731205301247803413/1311061458662199357","","","","",""
"Kingdom Hearts 2","https://archipelago.gg/games/Kingdom%20Hearts%202/info/en","https://archipelago.gg/tutorial/#Kingdom%20Hearts%202","https://discord.com/channels/731205301247803413/1090817012416118815","","","","",""
"Kirby's Dream Land 3","https://archipelago.gg/games/Kirby's%20Dream%20Land%203/info/en","https://archipelago.gg/tutorial/#Kirby%27s%20Dream%20Land%203","https://discord.com/channels/731205301247803413/1224389195485806703","","","","",""
"Landstalker - The Treasures of King Nole","https://archipelago.gg/games/Landstalker%20-%20The%20Treasures%20of%20King%20Nole/info/en","https://archipelago.gg/tutorial/#Landstalker%20-%20The%20Treasures%20of%20King%20Nole","https://discord.com/channels/731205301247803413/1192237232069808238","","","","",""
"The Legend of Zelda","https://archipelago.gg/games/The%20Legend%20of%20Zelda/info/en","https://archipelago.gg/tutorial/#The%20Legend%20of%20Zelda","https://discord.com/channels/731205301247803413/1090821869340467332","","","","",""
"Lingo","https://archipelago.gg/games/Lingo/info/en","https://archipelago.gg/tutorial/#Lingo","https://discord.com/channels/731205301247803413/1192233449868767362","","","","",""
"A Link to the Past","https://archipelago.gg/games/A%20Link%20to%20the%20Past/info/en","https://archipelago.gg/tutorial/#A%20Link%20to%20the%20Past","https://discord.com/channels/731205301247803413/827141303330406408","","","","",""
"Links Awakening DX","https://archipelago.gg/games/Links%20Awakening%20DX/info/en","https://archipelago.gg/tutorial/#Links%20Awakening%20DX","https://discord.com/channels/731205301247803413/1090819435893362768","","","","",""
"Lufia II Ancient Cave","https://archipelago.gg/games/Lufia%20II%20Ancient%20Cave/info/en","https://archipelago.gg/tutorial/#Lufia%20II%20Ancient%20Cave","https://discord.com/channels/731205301247803413/1055241755383046154","","","","",""
