Archipelago Version 0.6.5  -  Seed: 1

Filling Algorithm:               balanced
Players:                         1
Plando Options:                  connections, texts, bosses
Game:                            Factorio WorldGen
Location Count:                  179
Progression Balancing:           50
Accessibility:                   Full
Local Items:                     
Non-local Items:                 
Start Inventory:                 
Start Hints:                     
Start Location Hints:            
Excluded Locations:              
Priority Locations:              
Item Links:                      
Plando Items:                    
Randomize Items:                 No


Locations:

AP-1-235: progressive-rocketry
AP-5-349: progressive-inserter
AP-1-798: progressive-processing
AP-5-126: progressive-laser-shooting-speed
AP-2-328: progressive-vehicle
AP-4-431: progressive-processing
AP-3-926: progressive-science-pack
AP-1-757: progressive-energy-shield
AP-3-413: progressive-physical-projectile-damage
AP-4-529: progressive-worker-robots-storage
AP-2-416: progressive-research-speed
AP-4-304: progressive-processing
AP-4-024: progressive-flamethrower
AP-6-946: rocket-silo
AP-4-169: progressive-physical-projectile-damage
AP-4-954: progressive-laser-shooting-speed
AP-3-041: progressive-logistics
AP-4-822: progressive-laser-shooting-speed
AP-2-179: progressive-mining-productivity
AP-1-097: toolbelt
AP-2-634: progressive-military
AP-3-974: progressive-flamethrower
AP-2-688: radar
AP-4-499: progressive-processing
AP-4-738: progressive-follower
AP-1-141: logistic-robotics
AP-2-683: advanced-circuit
AP-2-650: rocket-fuel
AP-1-459: progressive-laser-weapons-damage
AP-1-055: progressive-logistics
AP-5-117: uranium-mining
AP-2-269: progressive-flamethrower
AP-5-220: explosives
AP-5-338: progressive-stronger-explosives
AP-4-022: progressive-physical-projectile-damage
AP-2-413: progressive-weapon-shooting-speed
AP-2-502: circuit-network
AP-3-722: progressive-mining-productivity
AP-3-806: progressive-physical-projectile-damage
AP-2-524: advanced-combinators
AP-1-769: progressive-laser-shooting-speed
AP-6-011: progressive-worker-robots-speed
AP-4-013: battery
AP-4-849: progressive-productivity-module
AP-4-600: progressive-physical-projectile-damage
AP-4-374: progressive-stronger-explosives
AP-6-002: progressive-worker-robots-speed
AP-2-654: fission-reactor-equipment
AP-4-274: progressive-laser-shooting-speed
AP-2-272: progressive-research-speed
AP-3-129: land-mine
AP-2-072: progressive-mining-productivity
AP-2-898: progressive-worker-robots-storage
AP-4-696: effect-transmission
AP-1-633: progressive-science-pack
AP-4-972: progressive-science-pack
AP-1-076: progressive-follower-robot-count
AP-3-719: progressive-train-network
AP-1-880: progressive-personal-battery
AP-5-703: progressive-speed-module
AP-1-211: robotics
AP-6-676: progressive-automation
AP-5-735: progressive-research-speed
AP-2-270: progressive-speed-module
AP-5-755: progressive-train-network
AP-1-754: exoskeleton-equipment
AP-2-861: progressive-weapon-shooting-speed
AP-6-077: progressive-logistics
AP-2-469: concrete
AP-5-464: progressive-laser-shooting-speed
AP-3-954: progressive-weapon-shooting-speed
AP-3-886: progressive-weapon-shooting-speed
AP-4-999: solar-energy
AP-5-609: progressive-inserter
AP-6-201: progressive-train-network
AP-5-316: progressive-efficiency-module
AP-4-829: progressive-inserter
AP-3-702: progressive-inserter
AP-1-983: progressive-engine
AP-3-953: progressive-stronger-explosives
AP-2-996: progressive-follower
AP-1-080: nuclear-power
AP-2-901: lamp
AP-5-844: lubricant
AP-5-734: progressive-flamethrower
AP-1-475: processing-unit
AP-6-193: progressive-inserter
AP-1-126: progressive-follower-robot-count
AP-4-406: progressive-follower-robot-count
AP-1-954: progressive-science-pack
AP-6-148: progressive-armor
AP-4-827: repair-pack
AP-4-409: progressive-productivity-module
AP-3-240: progressive-processing
AP-3-025: progressive-laser-weapons-damage
AP-5-133: progressive-turret
AP-2-507: progressive-laser-weapons-damage
AP-2-585: progressive-flamethrower
AP-4-350: progressive-military
AP-3-466: landfill
AP-5-401: progressive-research-speed
AP-1-951: progressive-worker-robots-storage
AP-3-210: progressive-train-network
AP-1-079: belt-immunity-equipment
AP-4-603: progressive-weapon-shooting-speed
AP-6-618: artillery
AP-6-496: progressive-research-speed
AP-5-180: progressive-train-network
AP-1-711: progressive-military
AP-3-801: progressive-stronger-explosives
AP-5-693: progressive-personal-battery
AP-5-934: progressive-military
AP-2-644: personal-laser-defense-equipment
AP-5-261: progressive-efficiency-module
AP-2-784: progressive-wall
AP-6-269: progressive-electric-energy-distribution
AP-6-746: progressive-vehicle
AP-2-514: cliff-explosives
AP-3-554: discharge-defense-equipment
AP-2-889: progressive-vehicle
AP-6-092: progressive-flamethrower
AP-2-473: low-density-structure
AP-4-336: solar-panel-equipment
AP-1-195: progressive-advanced-material-processing
AP-4-126: progressive-personal-roboport-equipment
AP-5-034: progressive-energy-shield
AP-1-494: progressive-train-network
AP-6-117: progressive-train-network
AP-6-577: progressive-turret
AP-5-472: progressive-research-speed
AP-2-652: progressive-flamethrower
AP-3-063: progressive-train-network
AP-6-737: progressive-laser-weapons-damage
AP-4-881: progressive-worker-robots-speed
AP-4-276: progressive-laser-weapons-damage
AP-5-561: progressive-inserter
AP-6-576: progressive-weapon-shooting-speed
AP-4-678: progressive-wall
AP-6-371: progressive-armor
AP-4-823: progressive-fluid-handling
AP-3-733: progressive-processing
AP-3-318: progressive-processing
AP-3-079: progressive-inserter
AP-3-537: progressive-automation
